date,open,high,low,close,volume
2019-11-13,137.8,138.22,137.64,137.98,8809170.0
2019-11-14,138.38,138.94,137.8685,138.56,5220259.0
2019-11-15,138.03,138.4208,137.971,138.21,10106690.0
2019-11-18,138.44,138.85,138.3,138.62,5717762.0
2019-11-19,138.13,138.9716,138.13,138.69,4819651.0
2019-11-20,138.53,139.0,138.1,138.76,6864781.0
2019-11-21,138.39,138.56,137.77,138.0,4196464.0
2019-11-22,138.37,138.46,137.66,137.74,3620266.0
2019-11-25,137.32,137.62,136.99,137.08,6468727.0
2019-11-26,136.98,137.8,136.58,137.74,4724383.0
2019-11-27,137.03,137.21,136.83,137.01,4106004.0
2019-11-29,137.1,138.1341,137.08,137.86,4516421.0
2019-12-02,137.314,138.09,137.3,137.79,8274464.0
2019-12-03,139.06,139.57,138.97,139.11,8500626.0
2019-12-04,139.16,139.165,138.59,138.92,6322253.0
2019-12-05,138.8,139.45,138.79,139.0,5661533.0
2019-12-06,137.76,137.8262,137.4,137.62,8714531.0
2019-12-09,137.81,137.81,137.45,137.58,2711506.0
2019-12-10,138.25,138.33,137.74,137.97,3240667.0
2019-12-11,138.2,139.3,138.1201,138.92,6051297.0
2019-12-12,139.78,139.85,137.88,138.43,8809561.0
2019-12-13,138.52,139.21,137.98,139.05,6964255.0
2019-12-16,139.2,139.39,138.8,139.04,4645603.0
2019-12-17,139.04,139.3,138.851,139.01,4287398.0
2019-12-18,138.86,139.25,138.81,139.02,3607526.0
2019-12-19,139.0421,139.55,138.87,139.38,4974681.0
2019-12-20,139.3705,139.52,138.98,139.52,4446611.0
2019-12-23,139.53,139.96,139.53,139.95,5180814.0
2019-12-24,140.4401,141.33,140.43,141.27,5303698.0
2019-12-26,142.06,142.47,141.9062,142.38,8338329.0
2019-12-27,142.26,142.73,142.17,142.33,5119883.0
2019-12-30,142.57,142.8,142.46,142.63,4810215.0
2019-12-31,143.31,143.605,142.8,142.9,5312671.0
2020-01-02,143.86,144.21,143.4,143.95,7732710.0
2020-01-03,145.7713,146.32,145.4,145.86,12272707.0
2020-01-06,148.42,148.48,146.95,147.39,14397138.0
2020-01-07,147.57,148.14,147.43,147.97,7996704.0
2020-01-08,148.49,148.61,146.14,146.86,22247107.0
2020-01-09,146.07,146.41,145.44,146.03,10292147.0
2020-01-10,146.22,146.99,146.17,146.91,6183208.0
2020-01-13,146.35,146.38,145.78,145.82,7593771.0
2020-01-14,145.4005,145.81,145.082,145.69,6589676.0
2020-01-15,146.21,146.73,145.82,146.54,6498475.0
2020-01-16,146.2313,146.4658,145.755,146.31,6051756.0
2020-01-17,146.51,146.99,146.31,146.58,11119151.0
2020-01-21,145.77,146.86,145.551,146.74,6076269.0
2020-01-22,146.68,146.81,146.38,146.79,4772215.0
2020-01-23,147.0,147.62,146.62,147.12,8411937.0
2020-01-24,146.9221,148.38,146.89,147.98,9913786.0
2020-01-27,149.21,149.32,148.4575,148.99,9963178.0
2020-01-28,148.36,148.56,147.53,147.66,7507154.0
