date,open,high,low,close,volume
2020-03-06,118.18,118.27,117.5,117.86,17456398.0
2020-03-09,119.27,119.27,117.0,117.71,12976064.0
2020-03-10,117.41,117.68,116.17,116.38,18581473.0
2020-03-11,116.7,116.79,114.55,114.72,13053279.0
2020-03-12,113.98,114.75,109.06,110.13,18683853.0
2020-03-13,111.53,112.46,110.25,111.86,24960479.0
2020-03-16,111.37,113.95,110.46,113.73,11802208.0
2020-03-17,112.89,113.92,110.59,110.79,15737203.0
2020-03-18,109.36,110.57,105.77,106.57,17047655.0
2020-03-19,106.47,109.22,105.56,108.95,11656981.0
2020-03-20,108.46,110.24,108.46,110.03,16403696.0
2020-03-23,109.9,112.94,109.0,112.64,12535448.0
2020-03-24,111.52,113.57,111.08,113.57,10253621.0
2020-03-25,114.0,114.75,113.7,114.73,10749719.0
2020-03-26,114.2,115.39,114.2,115.08,16610377.0
2020-03-27,114.78,115.58,114.53,115.57,10841700.0
2020-03-30,115.77,116.26,115.62,115.68,13340231.0
2020-03-31,115.71,115.98,115.23,115.37,14018631.0
2020-04-01,115.38,115.4,114.65,114.73,14192124.0
2020-04-02,115.02,115.22,114.7,114.9,11565380.0
2020-04-03,114.95,115.13,114.28,114.98,9786694.0
2020-04-06,115.02,115.61,115.02,115.54,8457712.0
2020-04-07,115.61,115.74,115.36,115.7,7743944.0
2020-04-08,115.7,115.97,115.55,115.81,4674198.0
2020-04-09,116.5,117.25,116.17,117.25,5584053.0
2020-04-13,117.09,117.17,116.53,116.7,5738262.0
2020-04-14,116.99,117.0,116.59,116.76,5506666.0
2020-04-15,117.03,117.31,116.71,117.24,4367410.0
2020-04-16,117.19,117.53,117.19,117.39,4744711.0
2020-04-17,117.52,117.62,117.04,117.25,4949823.0
2020-04-20,117.15,117.28,116.94,117.08,3847904.0
2020-04-21,117.43,117.44,117.07,117.14,4660507.0
2020-04-22,117.16,117.24,116.94,117.14,4647244.0
2020-04-23,117.33,117.45,117.19,117.42,4331115.0
2020-04-24,117.22,117.39,117.2,117.36,3162127.0
2020-04-27,117.21,117.36,116.82,116.82,5576262.0
2020-04-28,117.27,117.45,117.12,117.28,5889809.0
2020-04-29,117.29,117.48,117.2,117.36,4653103.0
2020-04-30,117.38,117.49,117.07,117.1,10387461.0
2020-05-01,116.97,117.1,116.68,116.87,6099465.0
2020-05-04,116.89,117.09,116.87,116.97,3684081.0
2020-05-05,116.96,116.97,116.81,116.88,4611519.0
2020-05-06,116.44,116.71,116.3,116.41,6298149.0
2020-05-07,116.61,116.77,116.42,116.77,3786651.0
2020-05-08,116.68,116.76,116.35,116.46,3443202.0
2020-05-11,116.4,116.43,116.07,116.11,5249464.0
2020-05-12,116.46,116.6,116.23,116.41,5931470.0
2020-05-13,116.63,116.76,116.45,116.6,4425907.0
2020-05-14,116.91,116.97,116.72,116.96,5698908.0
2020-05-15,117.04,117.09,116.9,117.03,5988770.0
2020-05-18,116.97,117.09,116.66,116.86,5037098.0
2020-05-19,116.91,117.03,116.81,116.99,4703983.0
2020-05-20,117.03,117.34,117.0,117.29,4579246.0
2020-05-21,117.35,117.48,117.32,117.38,5143735.0
2020-05-22,117.6,117.6,117.39,117.44,2794003.0
2020-05-26,117.38,117.44,117.24,117.25,5962078.0
2020-05-27,117.5,117.54,117.3,117.42,4772889.0
2020-05-28,117.14,117.35,117.14,117.34,11140153.0
2020-05-29,117.43,117.71,117.32,117.65,9228690.0
2020-06-01,117.35,117.4,117.24,117.37,5580035.0
2020-06-02,117.38,117.47,117.31,117.47,4286787.0
2020-06-03,117.26,117.41,117.06,117.18,6077613.0
2020-06-04,117.27,117.3,116.82,116.83,5002653.0
2020-06-05,116.75,116.91,116.48,116.9,4882613.0
2020-06-08,116.81,117.11,116.75,117.03,8551874.0
2020-06-09,117.31,117.33,117.18,117.18,5512256.0
2020-06-10,117.25,117.68,117.19,117.66,4680804.0
2020-06-11,117.73,117.8,117.44,117.46,7438791.0
2020-06-12,117.6,117.7,117.44,117.58,4571846.0
2020-06-15,117.72,117.98,117.61,117.97,5669970.0
2020-06-16,117.98,118.0,117.59,117.74,5327356.0
2020-06-17,117.74,117.76,117.47,117.64,3695970.0
2020-06-18,117.88,117.88,117.64,117.76,3356844.0
2020-06-19,117.8,117.97,117.74,117.8,2917425.0
2020-06-22,118.0,118.0,117.73,117.77,3315705.0
2020-06-23,117.79,117.83,117.69,117.75,3991363.0
2020-06-24,117.7,117.84,117.61,117.73,5040112.0
