date,open,high,low,close,volume
2020-02-19,149.21,149.76,148.58,148.94,6115185.0
2020-02-20,148.61,149.38,147.4,148.37,7464688.0
2020-02-21,148.09,150.24,147.54,149.93,7774872.0
2020-02-24,146.5,149.0,145.25,145.91,10588834.0
2020-02-25,145.99,146.75,143.83,144.65,10529048.0
2020-02-26,145.35,146.22,143.59,143.68,10093699.0
2020-02-27,142.56,144.77,138.95,139.12,12564321.0
2020-02-28,135.36,137.29,130.82,134.48,19820042.0
2020-03-02,134.78,140.13,134.01,140.02,11506198.0
2020-03-03,140.0,140.99,133.1,135.59,13659922.0
2020-03-04,137.68,143.64,137.14,143.48,10560253.0
2020-03-05,140.8,142.68,139.84,142.01,11338213.0
2020-03-06,138.48,143.01,137.41,142.03,12237800.0
2020-03-09,136.33,139.68,134.9,136.44,13844632.0
2020-03-10,139.97,141.95,134.23,141.64,12694792.0
2020-03-11,138.09,138.75,131.5,131.8,17225225.0
2020-03-12,127.31,133.76,124.5,125.41,21527516.0
2020-03-13,129.32,134.92,124.65,134.29,20077612.0
2020-03-16,123.57,133.76,122.43,127.13,18831801.0
2020-03-17,128.55,136.77,127.81,136.59,18908704.0
2020-03-18,131.02,135.67,128.71,134.96,17517697.0
2020-03-19,134.99,134.99,126.15,127.05,18472429.0
2020-03-20,126.83,127.44,118.13,119.89,19781100.0
2020-03-23,117.0,118.56,109.16,111.14,20804628.0
2020-03-24,118.76,119.65,113.86,119.18,17591238.0
2020-03-25,118.91,123.96,116.7,119.4,13982393.0
2020-03-26,120.57,127.1,120.38,126.57,15066578.0
2020-03-27,121.65,127.62,120.58,123.16,12130223.0
2020-03-30,128.46,133.99,127.5,133.01,21654258.0
2020-03-31,134.99,135.71,130.05,131.13,15717779.0
2020-04-01,127.7,130.23,125.5,128.81,12602084.0
2020-04-02,129.12,134.0,127.22,133.15,11590925.0
2020-04-03,132.38,134.79,131.58,134.17,10068187.0
2020-04-06,137.01,140.97,135.54,139.76,14988342.0
2020-04-07,139.86,142.03,137.26,137.48,11558850.0
2020-04-08,137.75,144.13,137.3,143.26,10755259.0
2020-04-09,144.01,145.42,140.28,141.23,11122962.0
2020-04-13,140.0,141.49,137.84,139.77,8137084.0
2020-04-14,145.42,147.42,144.05,146.03,13821935.0
2020-04-15,145.55,147.91,143.54,147.66,11950329.0
2020-04-16,148.31,150.68,146.44,149.67,12152056.0
2020-04-17,151.99,152.3,149.6,152.02,10916140.0
2020-04-20,150.93,153.0,150.09,151.67,12222908.0
2020-04-21,150.12,151.64,148.57,149.68,9944599.0
2020-04-22,152.81,155.0,151.73,152.99,11500550.0
2020-04-23,154.25,157.0,153.7,155.51,10692667.0
2020-04-24,155.57,156.3,153.64,154.86,8652827.0
2020-04-27,154.81,156.05,154.0,154.29,8921154.0
2020-04-28,151.25,153.1,150.7,151.39,8555906.0
2020-04-29,151.38,151.63,149.16,150.24,9277877.0
2020-04-30,148.46,150.43,147.16,150.04,14826054.0
2020-05-01,149.62,149.67,146.79,148.29,7307309.0
2020-05-04,148.77,149.08,147.09,148.27,7195484.0
2020-05-05,149.0,150.78,148.64,149.5,6561193.0
2020-05-06,150.0,150.32,148.04,148.08,6190061.0
2020-05-07,149.37,149.53,147.13,147.59,5570411.0
2020-05-08,148.92,149.18,147.89,148.7,4712057.0
2020-05-11,148.45,150.1,148.12,149.11,5885409.0
2020-05-12,150.1,150.34,147.03,147.14,7034686.0
2020-05-13,146.08,148.95,146.01,147.13,6967453.0
2020-05-14,145.39,147.76,144.26,147.64,6869276.0
2020-05-15,147.87,150.48,145.66,150.44,10336124.0
2020-05-18,152.49,153.62,150.46,150.52,7388132.0
2020-05-19,150.1,151.1,148.4,149.02,6105696.0
2020-05-20,149.75,150.39,147.27,147.68,5710251.0
2020-05-21,148.5,148.5,145.82,146.71,6537292.0
2020-05-22,144.57,146.29,144.06,144.37,6137464.0
2020-05-26,146.19,146.44,144.3,144.56,7071250.0
2020-05-27,144.32,145.25,143.01,144.89,7947858.0
2020-05-28,146.02,148.11,145.81,146.97,6189565.0
2020-05-29,147.96,149.35,145.33,148.75,8503996.0
2020-06-01,147.29,148.34,146.01,147.19,6141675.0
2020-06-02,147.06,148.35,146.12,148.25,6073895.0
2020-06-03,148.52,149.14,146.45,148.65,6338069.0
2020-06-04,146.8,148.37,145.58,146.73,8168982.0
2020-06-05,147.69,149.64,146.6,147.3,9724303.0
2020-06-08,145.88,147.61,145.74,146.77,7552228.0
2020-06-09,148.25,149.33,145.65,145.96,8246292.0
2020-06-10,146.6,150.03,146.6,147.8,10097406.0
2020-06-11,148.58,149.17,140.75,140.87,11906959.0
2020-06-12,142.84,143.71,140.28,142.15,8685742.0
2020-06-15,141.0,142.4,139.39,141.25,8649237.0
2020-06-16,144.09,145.42,142.77,144.46,7578979.0
2020-06-17,144.9,145.42,143.47,144.02,5092430.0
2020-06-18,142.52,144.12,141.87,143.41,4667086.0
2020-06-19,145.79,145.88,143.25,143.83,12206940.0
2020-06-22,143.47,143.66,142.03,143.39,5281358.0
2020-06-23,143.74,144.08,142.68,142.86,5920721.0
2020-06-24,141.49,142.19,138.72,139.82,8208504.0
2020-06-25,140.57,140.57,137.54,139.67,7419386.0
2020-06-26,139.53,139.6,137.02,137.81,12848714.0
2020-06-29,138.74,139.7,137.98,139.04,5309797.0
2020-06-30,139.4,141.02,137.84,140.63,7732875.0
2020-07-01,140.69,141.39,140.06,140.38,6196949.0
2020-07-02,141.25,141.84,140.33,140.97,5150554.0
2020-07-06,142.17,143.77,141.88,142.98,6153674.0
2020-07-07,141.39,143.97,141.23,142.85,5620698.0
2020-07-08,142.87,143.39,141.7,143.27,6257395.0
2020-07-09,142.76,144.43,140.58,142.49,5737306.0
2020-07-10,142.75,142.87,141.43,142.37,4277968.0
2020-07-13,143.61,146.64,143.28,145.21,6950220.0
2020-07-14,145.32,148.39,145.26,147.92,7440397.0
2020-07-15,149.73,150.21,148.23,148.26,8496297.0
2020-07-16,148.68,149.34,146.68,149.25,9257372.0
2020-07-17,150.0,150.58,148.69,149.35,7440369.0
2020-07-20,150.23,150.32,148.43,149.6,6189233.0
2020-07-21,149.6,151.67,149.5,149.74,5575882.0
2020-07-22,149.93,150.405,147.85,150.01,5910193.0
2020-07-23,150.21,150.85,149.28,149.61,6566269.0
2020-07-24,150.5,150.6,147.03,148.12,5405867.0
2020-07-27,147.37,148.92,146.86,147.18,5675155.0
2020-07-28,147.4,147.99,146.75,146.83,4842184.0
2020-07-29,146.39,147.47,146.07,146.54,4489147.0
2020-07-30,147.44,147.5,146.14,146.84,5922481.0
2020-07-31,146.66,147.45,143.96,145.76,8257997.0
2020-08-03,146.39,147.79,146.15,147.35,4079755.0
2020-08-04,146.99,147.22,145.8247,147.22,4162154.0
2020-08-05,149.1,149.31,147.8,148.4,5493196.0
2020-08-06,148.4,149.25,146.5,147.55,4837865.0
2020-08-07,147.51,148.65,147.15,148.6,3635071.0
2020-08-10,148.86,149.01,147.72,148.03,4096620.0
2020-08-11,149.14,149.23,146.37,146.97,6388389.0
2020-08-12,147.54,150.24,147.49,149.66,5258127.0
2020-08-13,148.54,149.19,147.53,148.0,5155457.0
2020-08-14,147.61,149.34,147.58,148.24,4240189.0
2020-08-17,148.32,150.23,148.23,148.99,4161971.0
2020-08-18,149.26,150.1,148.57,150.09,4322567.0
2020-08-19,149.58,151.58,149.32,150.39,7816251.0
2020-08-20,149.75,151.58,149.5457,151.42,4874739.0
2020-08-21,151.78,153.65,150.5901,152.76,6722759.0
2020-08-24,152.74,152.9,150.35,152.15,5387937.0
2020-08-25,152.78,153.07,151.535,152.06,3863477.0
2020-08-26,151.86,152.65,150.64,152.3,8008292.0
2020-08-27,152.42,153.26,151.89,152.98,5575432.0
2020-08-28,152.74,153.7,151.9,153.64,5395684.0
2020-08-31,153.0,154.4,152.2605,153.41,6362683.0
2020-09-01,153.87,154.08,150.07,151.52,6309237.0
2020-09-02,150.79,154.33,149.245,153.83,6881856.0
2020-09-03,154.83,155.47,148.3,149.55,8672808.0
2020-09-04,150.17,150.95,147.13,148.59,7200065.0
2020-09-08,150.25,150.89,146.9,147.26,8756842.0
2020-09-09,148.15,151.1,148.12,149.7,6960668.0
2020-09-10,149.25,149.78,146.52,146.91,6191800.0
2020-09-11,147.05,148.53,146.63,147.78,3934691.0
2020-09-14,148.12,149.47,148.01,148.35,4375798.0
2020-09-15,149.45,150.59,148.52,148.89,3659221.0
2020-09-16,149.39,150.06,148.3501,148.4,4323502.0
2020-09-17,148.04,148.63,146.05,147.17,5461414.0
2020-09-18,146.51,149.65,146.2,149.18,12174044.0
2020-09-21,147.58,147.93,142.96,145.1,7574501.0
2020-09-22,144.69,145.35,143.72,144.21,5295917.0
2020-09-23,147.48,147.55,144.38,144.44,8784436.0
2020-09-24,144.56,145.25,143.34,144.67,5614844.0
2020-09-25,144.0,146.25,143.89,145.66,5531209.0
2020-09-28,146.73,148.29,146.42,147.11,5843189.0
2020-09-29,147.6,147.92,146.06,147.06,6771016.0
2020-09-30,147.45,149.73,146.84,148.88,8487691.0
2020-10-01,149.31,149.65,146.46,147.32,6457808.0
2020-10-02,146.21,148.41,145.83,146.24,5485602.0
2020-10-05,147.0,148.38,146.42,148.23,4992758.0
2020-10-06,148.28,148.61,145.87,146.26,5118212.0
2020-10-07,146.49,148.23,145.81,147.88,5603123.0
2020-10-08,148.5,149.85,148.04,148.89,4413531.0
2020-10-09,149.65,151.48,149.445,150.97,5054116.0
2020-10-12,151.6,153.142,151.02,151.84,7273170.0
2020-10-13,149.0,150.12,147.77,148.36,11057570.0
2020-10-14,148.82,149.03,147.39,148.1,7707047.0
2020-10-15,147.48,147.9,146.33,147.19,5979015.0
2020-10-16,147.6,148.76,147.01,148.1,6098404.0
2020-10-19,148.53,148.9,144.13,144.32,7250755.0
2020-10-20,144.66,145.75,144.12,144.55,5326540.0
2020-10-21,144.12,145.34,143.91,143.93,5221348.0
